,fecha,lat,lng,promo1_precio,preciolista,promo2_precio,compra,venta,promedio
47,2022-07-28,-35.61613384799715,-60.465510184555676,121.75399999999999,145.009717891611,119.44136752136751,304.0,314.0,309.0
48,2022-07-29,-35.67164671856656,-60.49460393203986,121.75399999999999,145.35773728170085,119.4408474576271,286.0,296.0,291.0
49,2022-07-30,-35.57481642059204,-60.644278708816515,130.36363636363637,147.06740657698057,119.44136752136751,286.0,296.0,291.0
50,2022-07-31,-35.47569999273292,-60.56942614315432,130.0,147.03840819542947,119.4408474576271,286.0,296.0,291.0
51,2022-08-01,-35.47569999273292,-60.56942614315432,130.0,147.03840819542947,119.4408474576271,272.0,282.0,277.0
52,2022-08-02,-35.47569999273292,-60.56942614315432,130.0,147.03840819542947,119.4408474576271,281.0,291.0,286.0
53,2022-08-03,-35.611390490541154,-60.65549376299125,130.0,147.21841945288753,118.62083333333334,288.0,298.0,293.0
54,2022-08-04,-35.727027462096565,-60.553390430115805,130.0,147.5153675889328,119.43983333333333,281.0,291.0,286.0
55,2022-08-05,-35.72630806482684,-60.55971474173012,130.0,147.5285691573927,119.43983333333333,283.0,293.0,288.0
56,2022-08-06,-35.6273259670947,-60.682750188446896,130.36363636363637,147.48607751937985,119.29099173553718,283.0,293.0,288.0
57,2022-08-07,-35.6273259670947,-60.682750188446896,130.36363636363637,147.48607751937985,119.29099173553718,283.0,293.0,288.0
58,2022-08-08,-35.6273259670947,-60.682750188446896,130.36363636363637,147.48607751937985,119.29099173553718,282.0,292.0,287.0
59,2022-08-09,-35.61747795480107,-60.665784627928005,130.36363636363637,147.4071911880409,118.62083333333334,283.0,293.0,288.0
60,2022-08-10,-35.6667321882811,-60.68248444127584,130.36363636363637,147.449044988161,118.62083333333334,285.0,295.0,290.0
61,2022-08-11,-35.67361267585693,-60.71852448535919,145.0,147.46267303102624,119.14725,287.0,297.0,292.0
62,2022-08-12,-35.667144449681984,-60.72207447249919,145.0,148.08393285371702,122.99958333333332,285.0,295.0,290.0
63,2022-08-13,-35.667144449681984,-60.72207447249919,145.0,148.08393285371702,122.99958333333332,285.0,295.0,290.0
64,2022-08-14,-35.47898825146725,-60.48560695559596,145.0,148.08335937500001,122.99958333333332,285.0,295.0,290.0
65,2022-08-15,-35.47898825146725,-60.48560695559596,145.0,148.08335937500001,122.99958333333332,285.0,295.0,290.0
66,2022-08-16,-35.531888191099334,-60.432202029624555,144.3,147.94948627726953,122.15374999999999,286.0,291.0,288.5
67,2022-08-17,-35.491900388275205,-60.39332960323005,144.3,147.76601100412654,122.45583333333333,287.0,292.0,289.5
68,2022-08-18,-35.5603786325949,-60.29235783114622,144.3,149.574355179704,123.30218487394957,288.0,293.0,290.5
69,2022-08-19,-35.45398208218811,-60.37386875912567,135.99,150.29141008174386,123.30218487394957,290.0,295.0,292.5
70,2022-08-20,-35.45398208218811,-60.37386875912567,135.99,150.29141008174386,123.30218487394957,290.0,295.0,292.5
71,2022-08-21,-35.302271063499,-60.30929084365761,140.49,150.0516796047989,123.30218487394957,290.0,295.0,292.5
72,2022-08-22,-35.414842003528875,-60.36407508335377,144.99,150.30224657534245,122.44254237288135,287.0,292.0,289.5
73,2022-08-23,-35.414842003528875,-60.36407508335377,144.99,150.30224657534245,122.44254237288135,292.0,297.0,294.5
74,2022-08-24,-35.414842003528875,-60.36407508335377,144.99,150.30224657534245,122.44254237288135,290.0,295.0,292.5
75,2022-08-25,-35.414842003528875,-60.36407508335377,144.99,150.30224657534245,122.44254237288135,288.0,293.0,290.5
