,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1089315,1089315,sucursales,1,-34.562834,-58.6101726,61 - LOMA HERMOSA,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Av Eva Peron 9735,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089316,1089316,sucursales,1,-34.8198093,-58.4673986,62 - MONTE GRANDE,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Vicente Lopez 473,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089317,1089317,sucursales,1,-34.7482106,-58.5884615,63 - LAFERRERE,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Magnasco 3147,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089318,1089318,sucursales,1,-34.6612587,-58.7263109,64 - MERLO,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Hipolito Irigoyen 357,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089319,1089319,sucursales,1,-34.5795557,-58.4770438,65 - VILLA URQUIZA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Cl Triunvirato 3981,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089320,1089320,sucursales,1,-34.47267,-58.762683,66 - TORTUGUITAS,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Luis Maria Drago 238,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089321,1089321,sucursales,1,-34.7693312,-58.3556143,67 - ALMIRANTE BROWN,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Salta 957,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089322,1089322,sucursales,1,-34.6307077,-58.5897402,68 - MORON,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Cap.Claudio Rosales 1549,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089323,1089323,sucursales,1,-34.6049604,-58.4208375,69 - PALERMO,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Cl Sarmiento 3978,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089324,1089324,sucursales,1,-34.6024774,-58.4281829,7 - ALMAGRO,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Av Corrientes 4474,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
