,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1078733,1078733,sucursales,3,-34.588209,-58.419052,Aráoz 2148,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Aráoz 2148,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078734,1078734,sucursales,3,-34.601987,-58.371949,Lavalle 368,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Lavalle 368,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078735,1078735,sucursales,3,-34.557913,-58.463202,Amenábar 2710,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Amenábar 2710,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078736,1078736,sucursales,3,-34.611219,-58.37334,Bolívar 270,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Bolívar 270,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078737,1078737,sucursales,3,-34.612239,-58.386223,Moreno 1401,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Moreno 1401,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078738,1078738,sucursales,3,-34.592701,-58.394831,Ayacucho 1401,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Ayacucho 1401,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078739,1078739,sucursales,3,-34.490709,-58.843137,Av. de Mayo 432,7790387015324,Autoservicio,AR-B,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. De Mayo 432,Express,Derqui,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078740,1078740,sucursales,3,-34.62547,-58.42993,Pedro Goyena 188,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Pedro Goyena 188,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078741,1078741,sucursales,3,-34.60498,-58.406744,Boulogne Sur Mer 431,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Boulogne Sur Mer 431,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078742,1078742,sucursales,3,-31.415382,-64.180514,Alvear 126,7790387015324,Autoservicio,AR-X,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,417.0,,,True,Alvear 126,Express,Córdoba,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
